Name,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA
La Boca Restaurant,"['Mediterranean', 'European', 'Spanish', 'Argentinean', 'Vegetarian Friendly']",200.0,4.0,$$ - $$$,937.0,"[['Excellent steak served with a Moldavian re...', 'Good food, nice quiet location'], ['12/31/2017', '12/29/2017']]",/Restaurant_Review-g274707-d1025703-Reviews-La_Boca_Restaurant-Prague_Bohemia.html
Aromi,"['Contemporary', 'Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",201.0,4.5,$$$$,255.0,"[['Excellent food and service', 'Christmas dinner'], ['01/03/2018', '12/25/2017']]",/Restaurant_Review-g274707-d9740154-Reviews-Aromi-Prague_Bohemia.html
Konirna,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",202.0,4.0,$$ - $$$,933.0,"[['Hearty, homely and authentic', 'Very good food!'], ['01/03/2018', '12/16/2017']]",/Restaurant_Review-g274707-d694903-Reviews-Konirna-Prague_Bohemia.html
Lokal U Bile Kuzelky,"['Bar', 'European', 'Pub', 'Czech', 'Eastern European', 'Central European']",203.0,4.0,$$ - $$$,766.0,"[['Beer Time at its best!', 'Good food and beer'], ['01/06/2018', '12/11/2017']]",/Restaurant_Review-g274707-d1500679-Reviews-Lokal_U_Bile_Kuzelky-Prague_Bohemia.html
Kalina cuisine & vins,"['French', 'European', 'Czech', 'Central European', 'Gluten Free Options']",204.0,4.5,$$$$,501.0,"[['An unexpected delight', 'Delicious dinner!'], ['01/01/2018', '11/20/2017']]",/Restaurant_Review-g274707-d3722172-Reviews-Kalina_cuisine_vins-Prague_Bohemia.html
Baracnicka Rychta,['Czech'],205.0,4.5,$$ - $$$,751.0,"[['Best wild boar', 'Best to taste local cuisine'], ['01/06/2018', '12/28/2017']]",/Restaurant_Review-g274707-d1458262-Reviews-Baracnicka_Rychta-Prague_Bohemia.html
Kulatak Pilsner Urquell Original Restaurant,"['Bar', 'European', 'Pub', 'Czech', 'Central European', 'International', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",206.0,4.5,$$ - $$$,442.0,"[['Best meal in Prague', 'Great athmosphere'], ['12/18/2017', '12/05/2017']]",/Restaurant_Review-g274707-d1896019-Reviews-Kulatak_Pilsner_Urquell_Original_Restaurant-Prague_Bohemia.html
Pizza & Pasta Factory,"['Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",207.0,4.0,$,422.0,"[['Gluten free pasta!', 'Tasty and fast cooking'], ['01/07/2018', '01/02/2018']]",/Restaurant_Review-g274707-d6871043-Reviews-Pizza_Pasta_Factory-Prague_Bohemia.html
Vysoky Dum 99,"['Eastern European', 'Central European', 'Vegetarian Friendly']",208.0,4.0,$$ - $$$,385.0,"[['Nice family restaurant', 'Try the pork knuckle!'], ['08/24/2017', '07/13/2017']]",/Restaurant_Review-g274707-d1633178-Reviews-Vysoky_Dum_99-Prague_Bohemia.html
Restaurace U Sadlu,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",209.0,4.0,$$ - $$$,647.0,"[['Well worth a visit', 'Good Beer and OK food'], ['12/06/2017', '11/16/2017']]",/Restaurant_Review-g274707-d1095904-Reviews-Restaurace_U_Sadlu-Prague_Bohemia.html
Restaurace Lavicka,"['European', 'Czech', 'Eastern European', 'Central European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",210.0,4.5,$$ - $$$,437.0,"[['Very friendly', 'Amazing!'], ['01/05/2018', '12/17/2017']]",/Restaurant_Review-g274707-d1528496-Reviews-Restaurace_Lavicka-Prague_Bohemia.html
Joy Burger,"['American', 'Grill', 'Bar', 'Fast Food', 'Vegetarian Friendly']",211.0,4.0,$$ - $$$,718.0,"[['Best burgers', 'Yummy burgers'], ['11/26/2017', '11/22/2017']]",/Restaurant_Review-g274707-d7267907-Reviews-Joy_Burger-Prague_Bohemia.html
Le Cinque Corone,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",212.0,4.0,$$ - $$$,520.0,"[['Tasty, but added extras on bill', 'Good gluten-free pasta'], ['08/18/2017', '08/16/2017']]",/Restaurant_Review-g274707-d2357415-Reviews-Le_Cinque_Corone-Prague_Bohemia.html
Valoria Castle and Garden Restaurant,"['European', 'Czech', 'Eastern European', 'Central European']",213.0,4.5,$$$$,297.0,"[['Nice location', 'Great experience'], ['06/27/2017', '01/03/2017']]",/Restaurant_Review-g274707-d6714338-Reviews-Valoria_Castle_and_Garden_Restaurant-Prague_Bohemia.html
Czech Slovak Restaurant Lounge Bar,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",214.0,5.0,$$ - $$$,108.0,"[['Extravagant Food, Relaxed Atmosphere, Fant...', 'Perfect food with amazing Slovak vines'], ['12/22/2017', '12/07/2017']]",/Restaurant_Review-g274707-d8686393-Reviews-Czech_Slovak_Restaurant_Lounge_Bar-Prague_Bohemia.html
U Laury,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",215.0,4.0,$$ - $$$,403.0,"[['Christmas holidays lunch', 'Good option'], ['12/26/2017', '11/19/2017']]",/Restaurant_Review-g274707-d2714992-Reviews-U_Laury-Prague_Bohemia.html
U tri prasatek,"['Bar', 'European', 'Czech', 'Eastern European', 'Central European', 'Gastropub', 'Vegetarian Friendly']",216.0,4.5,$$ - $$$,210.0,"[['Great to introduce Czech cuisine !', 'Great place'], ['01/09/2018', '01/03/2018']]",/Restaurant_Review-g274707-d4793577-Reviews-U_tri_prasatek-Prague_Bohemia.html
Matylda restaurant,"['Barbecue', 'European', 'Healthy', 'Vegetarian Friendly']",217.0,4.5,$$ - $$$,519.0,"[['Very nice restaurant', '5 star sevice and food!'], ['01/09/2018', '12/16/2017']]",/Restaurant_Review-g274707-d1762278-Reviews-Matylda_restaurant-Prague_Bohemia.html
Rang De Basanti. Indian Restaurant,"['Indian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",218.0,5.0,$$ - $$$,135.0,"[[""The Best Indian Restaurant I've ever been..."", 'Excellent Food and very helpful staff and...'], ['11/06/2017', '11/02/2017']]",/Restaurant_Review-g274707-d7682064-Reviews-Rang_De_Basanti_Indian_Restaurant-Prague_Bohemia.html
U Semika,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",219.0,4.5,$$ - $$$,404.0,"[['Inexpensive Czech restaurant', 'Traditional cosy and reasonably-priced'], ['01/02/2018', '12/31/2017']]",/Restaurant_Review-g274707-d1773008-Reviews-U_Semika-Prague_Bohemia.html
Riva Ristorante Italiano,"['Seafood', 'Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']",220.0,4.5,$$ - $$$,114.0,"[['Great great food- ok service', 'Solid Italian food'], ['01/08/2018', '01/06/2018']]",/Restaurant_Review-g274707-d10533723-Reviews-Riva_Ristorante_Italiano-Prague_Bohemia.html
Kotleta,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",221.0,4.0,$$ - $$$,1317.0,"[['Huge portions, clean & friendly', 'Nice Outdoor Dining'], ['01/05/2018', '12/28/2017']]",/Restaurant_Review-g274707-d2538199-Reviews-Kotleta-Prague_Bohemia.html
